article,name,lang
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Bangladesh,Đại dịch COVID-19 tại Bangladesh,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D8%AF%D9%88%D9%85%D9%8A%D9%86%D9%8A%D9%83%D8%A7%D9%86_2020,جائحة فيروس كورونا في جمهورية الدومينيكان 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Rep%C3%BAblica_Dominicana,Pandemia de enfermedad por coronavirus de 2020 en República Dominicana,es
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_C%E1%BB%99ng_h%C3%B2a_Dominica,Đại dịch COVID-19 tại Cộng hòa Dominica,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%82%D8%A8%D8%B1%D8%B5_2020,جائحة فيروس كورونا في قبرص 2020,ar
https://tr.wikipedia.org/wiki/K%C4%B1br%C4%B1s_Cumhuriyeti%27nde_2020_koronavir%C3%BCs_pandemisi,Kıbrıs Cumhuriyeti'nde 2020 koronavirüs pandemisi,tr
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_S%C3%ADp,Đại dịch COVID-19 tại Síp,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A8%D9%8A%D8%B1%D9%88_2020,جائحة فيروس كورونا في بيرو 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Per%C3%BA,Pandemia de enfermedad por coronavirus de 2020 en Perú,es
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%A7%D8%BA%D9%88%D8%A7%D9%8A_2020,جائحة فيروس كورونا في الباراغواي 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Paraguay,Pandemia de enfermedad por coronavirus de 2020 en Paraguay,es
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Paraguay,Đại dịch COVID-19 tại Paraguay,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86_2020,جائحة فيروس كورونا في الأردن 2020,ar
https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_COVID-19_%D0%B2_%D0%98%D0%BE%D1%80%D0%B4%D0%B0%D0%BD%D0%B8%D0%B8,Распространение COVID-19 в Иордании,ru
https://tr.wikipedia.org/wiki/%C3%9Crd%C3%BCn%27de_2020_koronavir%C3%BCs_pandemisi,Ürdün'de 2020 koronavirüs pandemisi,tr
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Jordan,Đại dịch COVID-19 tại Jordan,vi
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Honduras,Pandemia de enfermedad por coronavirus de 2020 en Honduras,es
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Honduras,Đại dịch COVID-19 tại Honduras,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E6%B4%AA%E9%83%BD%E6%8B%89%E6%96%AF%E7%96%AB%E6%83%85,2019冠状病毒病洪都拉斯疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%83%D9%88%D8%A8%D8%A7_2020,جائحة فيروس كورونا في كوبا 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Cuba,Pandemia de enfermedad por coronavirus de 2020 en Cuba,es
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Cuba,Đại dịch COVID-19 tại Cuba,vi
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Moldova,Đại dịch COVID-19 tại Moldova,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E6%91%A9%E7%88%BE%E5%A4%9A%E7%93%A6%E7%96%AB%E6%83%85,2019冠狀病毒病摩爾多瓦疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AC%D8%A7%D9%85%D8%A7%D9%8A%D9%83%D8%A7_2020,جائحة فيروس كورونا في جامايكا 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Jamaica,Đại dịch COVID-19 tại Jamaica,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A3%D8%B1%D9%85%D9%8A%D9%86%D9%8A%D8%A7_2020,جائحة فيروس كورونا في أرمينيا 2020,ar
https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_COVID-19_%D0%B2_%D0%90%D1%80%D0%BC%D0%B5%D0%BD%D0%B8%D0%B8,Распространение COVID-19 в Армении,ru
https://tr.wikipedia.org/wiki/Ermenistan%27da_2020_koronavir%C3%BCs_pandemisi,Ermenistan'da 2020 koronavirüs pandemisi,tr
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%88%D8%A7%D9%8A%D9%88%D9%85%D9%86%D8%BA_2020,جائحة فيروس كورونا في وايومنغ 2020,ar
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AC%D8%B2%D8%B1_%D8%A7%D9%84%D8%A8%D9%87%D8%A7%D9%85%D8%A7%D8%B3_2020,جائحة فيروس كورونا في جزر البهاماس 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Bahamas,Đại dịch COVID-19 tại Bahamas,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E5%B7%B4%E5%93%88%E9%A9%AC%E7%96%AB%E6%83%85,2019冠状病毒病巴哈马疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%84%D9%8A%D8%A8%D9%8A%D8%B1%D9%8A%D8%A7_2020,جائحة فيروس كورونا في ليبيريا 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Liberia,Đại dịch COVID-19 tại Liberia,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E5%88%A9%E6%AF%94%E9%87%8C%E4%BA%9A%E7%96%AB%E6%83%85,2019冠状病毒病利比里亚疫情,zh
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Afghanistan,Đại dịch COVID-19 tại Afghanistan,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%BA%D9%88%D8%A7%D9%85_2020,جائحة فيروس كورونا في غوام 2020,ar
https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Guam,Pandemi koronavirus di Guam,id
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%B5%D9%88%D9%85%D8%A7%D9%84_2020,جائحة فيروس كورونا في الصومال 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Somalia,Đại dịch COVID-19 tại Somalia,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E7%B4%A2%E9%A9%AC%E9%87%8C%E7%96%AB%E6%83%85,2019冠状病毒病索马里疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AA%D9%86%D8%B2%D8%A7%D9%86%D9%8A%D8%A7_2020,جائحة فيروس كورونا في تنزانيا 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Tanzania,Đại dịch COVID-19 tại Tanzania,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E5%9D%A6%E6%A1%91%E5%B0%BC%E4%BA%9E%E7%96%AB%E6%83%85,2019冠狀病毒病坦桑尼亞疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A8%D9%86%D9%8A%D9%86_2020,جائحة فيروس كورونا في بنين 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_B%C3%A9nin,Đại dịch COVID-19 tại Bénin,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E8%B2%9D%E5%AF%A7%E7%96%AB%E6%83%85,2019冠狀病毒病貝寧疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AC%D8%B1%D9%8A%D9%86%D9%84%D8%A7%D9%86%D8%AF_2020,جائحة فيروس كورونا في جرينلاند 2020,ar
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E6%A0%BC%E9%99%B5%E5%85%B0%E7%96%AB%E6%83%85,2019冠状病毒病格陵兰疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%B3%D9%88%D8%B1%D9%8A%D8%A7_2020,جائحة فيروس كورونا في سوريا 2020,ar
https://tr.wikipedia.org/wiki/Suriye%27de_2020_koronavir%C3%BCs_pandemisi,Suriye'de 2020 koronavirüs pandemisi,tr
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Syria,Đại dịch COVID-19 tại Syria,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%AA%D9%8A%D9%85%D9%88%D8%B1_%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9_2020,جائحة فيروس كورونا في تيمور الشرقية 2020,ar
https://tr.wikipedia.org/wiki/Do%C4%9Fu_Timor%27da_2020_Koronavir%C3%BCs_Pandemisi,Doğu Timor'da 2020 Koronavirüs Pandemisi,tr
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D8%AC%D8%A8%D9%84_%D8%A7%D9%84%D8%A3%D8%B3%D9%88%D8%AF_2020,جائحة فيروس كورونا في الجبل الأسود 2020,ar
https://sq.wikipedia.org/wiki/Pandemia_e_Koronavirusit_n%C3%AB_Mal_t%C3%AB_Zi_2020,Pandemia e Koronavirusit në Mal të Zi 2020,sq
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Montenegro,Đại dịch COVID-19 tại Montenegro,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E7%96%AB%E6%83%85%E5%AF%B9%E6%94%BF%E6%B2%BB%E7%9A%84%E5%BD%B1%E5%93%8D,2019冠状病毒病疫情对政治的影响,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%BA%D8%A7%D9%85%D8%A8%D9%8A%D8%A7_2020,جائحة فيروس كورونا في غامبيا 2020,ar
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Gambia,Đại dịch COVID-19 tại Gambia,vi
https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Thailand,Pandemi koronavirus di Thailand,id
https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2563,การระบาดทั่วของโคโรนาไวรัสในประเทศไทย พ.ศ. 2563,th
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Th%C3%A1i_Lan,Đại dịch COVID-19 tại Thái Lan,vi
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Nepal,Đại dịch COVID-19 tại Nepal,vi
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9_2020,جائحة فيروس كورونا في الولايات المتحدة 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_los_Estados_Unidos,Pandemia de enfermedad por coronavirus de 2020 en los Estados Unidos,es
https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Amerika_Serikat,Pandemi koronavirus di Amerika Serikat,id
https://ko.wikipedia.org/wiki/%EB%AF%B8%EA%B5%AD%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,미국의 코로나바이러스감염증-19 범유행,ko
https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_COVID-19_%D0%B2_%D0%A1%D0%A8%D0%90,Распространение COVID-19 в США,ru
https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B9%83%E0%B8%99%E0%B8%AA%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%90_%E0%B8%9E.%E0%B8%A8._2563,การระบาดทั่วของโคโรนาไวรัสในสหรัฐ พ.ศ. 2563,th
https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri%27nde_2020_koronavir%C3%BCs_pandemisi,Amerika Birleşik Devletleri'nde 2020 koronavirüs pandemisi,tr
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Hoa_K%E1%BB%B3,Đại dịch COVID-19 tại Hoa Kỳ,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E7%BE%8E%E5%9C%8B%E7%96%AB%E6%83%85,2019冠狀病毒病美國疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%83%D9%86%D8%AF%D8%A7_2020,جائحة فيروس كورونا في كندا 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Canad%C3%A1,Pandemia de enfermedad por coronavirus de 2020 en Canadá,es
https://ko.wikipedia.org/wiki/%EC%BA%90%EB%82%98%EB%8B%A4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,캐나다의 코로나바이러스감염증-19 범유행,ko
https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%B2_%E0%B8%9E.%E0%B8%A8._2563,การระบาดทั่วของโคโรนาไวรัสในประเทศแคนาดา พ.ศ. 2563,th
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Canada,Đại dịch COVID-19 tại Canada,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8A%B6%E7%97%85%E6%AF%92%E7%97%85%E5%8A%A0%E6%8B%BF%E5%A4%A7%E7%96%AB%E6%83%85,2019冠状病毒病加拿大疫情,zh
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%81%D8%B1%D9%86%D8%B3%D8%A7_2020,جائحة فيروس كورونا في فرنسا 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Francia,Pandemia de enfermedad por coronavirus de 2020 en Francia,es
https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Prancis,Pandemi koronavirus di Prancis,id
https://ko.wikipedia.org/wiki/%ED%94%84%EB%9E%91%EC%8A%A4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,프랑스의 코로나바이러스감염증-19 범유행,ko
https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_COVID-19_%D0%B2%D0%BE_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D0%B8,Распространение COVID-19 во Франции,ru
https://sq.wikipedia.org/wiki/Pandemia_e_Koronavirusit_n%C3%AB_Franc%C3%AB_2020,Pandemia e Koronavirusit në Francë 2020,sq
https://tr.wikipedia.org/wiki/Fransa%27da_2020_koronavir%C3%BCs_pandemisi,Fransa'da 2020 koronavirüs pandemisi,tr
https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Ph%C3%A1p,Đại dịch COVID-19 tại Pháp,vi
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E6%B3%95%E5%9C%8B%E7%96%AB%E6%83%85,2019冠狀病毒病法國疫情,zh
